A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
28.94,"Производство на машини за текстил облекло кожи и кожени изделия"
28.95,"Производство на машини за хартия картон и изделия от хартия и картон"
28.96,"Производство на машини за каучук или пластмаси"
28.99,"Производство на други машини със специално предназначение некласифицирани другаде"
29,"Производство на автомобили ремаркета и полуремаркета"
29.1,"Производство на автомобили и техните двигатели"
29.10,"Производство на автомобили и техните двигатели"
29.2,"Производство на купета и каросерии за автомобили производство на ремаркета и полуремаркета"
29.20,"Производство на купета и каросерии за автомобили производство на ремаркета и полуремаркета"
29.3,"Производство на части и принадлежности за автомобили"
29.31,"Производство на електронни и електрически части и устройства за автомобили"
29.32,"Производство на други части и принадлежности за автомобили"
30,"Производство на превозни средства без автомобили"
30.1,"Строителство на плавателни съдове"
30.11,"Строителство на плавателни съдове без тези за отдих"
30.12,"Строителство на плавателни съдове за отдих"
30.2,"Производство на локомотиви мотриси и вагони"
30.20,"Производство на локомотиви мотриси и вагони"
30.3,"Производство на въздухоплавателни и космически средства и техните двигатели"
30.30,"Производство на въздухоплавателни и космически средства и техните двигатели"
30.4,"Производство на бойни бронирани транспортни машини"
30.40,"Производство на бойни бронирани транспортни машини"
30.9,"Производство на други превозни средства"
30.91,"Производство на мотоциклети и техните двигатели"
30.92,"Производство на велосипеди и инвалидни колички"
30.99,"Производство на други превозни средства некласифицирани другаде"
31,"Производство на мебели"
31.0,"Производство на мебели"
31.01,"Производство на мебели за офиси и магазини"
31.02,"Производство на кухненски мебели"
31.03,"Производство на матраци и дюшеци"
31.09,"Производство на други мебели"
32,"Производство некласифицирано другаде"
32.1,"Производство на бижута и подобни изделия"
32.11,"Сечене на монети"
32.12,"Производство на бижутерийни и подобни изделия от благородни метали"
32.13,"Производство на бижута имитация"
32.2,"Производство на музикални инструменти"
32.20,"Производство на музикални инструменти"
32.3,"Производство на спортни стоки"
32.30,"Производство на спортни стоки"
32.4,"Производство на игри и детски играчки"
32.40,"Производство на игри и детски играчки"
32.5,"Производство на медицински и зъболекарски инструменти и средства"
32.50,"Производство на медицински и зъболекарски инструменти и средства"
32.9,"Разнообразни производства некласифицирани другаде"
32.91,"Производство на метли и четки"
32.99,"Други разнообразни производства некласифицирани другаде"
33,"Ремонт и инсталиране на машини и оборудване"
33.1,"Ремонт на метални изделия машини и оборудване"
33.11,"Ремонт на метални изделия"
33.12,"Ремонт на машини и оборудване с общо и специално предназначение"
33.13,"Ремонт на електронни и оптични уреди и апарати"
33.14,"Ремонт на електрически съоръжения"
33.15,"Ремонт и поддържане на плавателни съдове"
33.16,"Ремонт и поддържане на въздухоплавателни и космически средства"
33.17,"Ремонт и поддържане на други превозни средства"
33.19,"Ремонт на друго оборудване"
33.2,"Инсталиране на машини и оборудване"
33.20,"Инсталиране на машини и оборудване"
D,"ПРОИЗВОДСТВО И РАЗПРЕДЕЛЕНИЕ НА ЕЛЕКТРИЧЕСКА И ТОПЛИННА ЕНЕРГИЯ И НА ГАЗООБРАЗНИ ГОРИВА"
35,"Производство и разпределение на електрическа и топлинна енергия и на газообразни горива"
35.1,"Производство пренос и разпределение на електрическа енергия"
35.11,"Производство на електрическа енергия"
35.12,"Пренос на електрическа енергия"
35.13,"Разпределение на електрическа енергия"
35.14,"Търговия с електрическа енергия"
35.2,"Производство и разпределение на газообразни горива по газоразпределителните мрежи"
35.21,"Производство на газообразни горива"
35.22,"Разпределение на газообразни горива по газоразпределителните мрежи"
35.23,"Търговия с газообразни горива по газоразпределителните мрежи"
35.3,"Производство и разпределение на топлинна енергия"
35.30,"Производство и разпределение на топлинна енергия"
E,"ДОСТАВЯНЕ НА ВОДИ КАНАЛИЗАЦИОННИ УСЛУГИ УПРАВЛЕНИЕ НА ОТПАДЪЦИ И ВЪЗСТАНОВЯВАНЕ"
36,"Събиране пречистване и доставяне на води"
36.0,"Събиране пречистване и доставяне на води"
36.00,"Събиране пречистване и доставяне на води"
37,"Събиране отвеждане и пречистване на отпадъчни води"
37.0,"Събиране отвеждане и пречистване на отпадъчни води"
37.00,"Събиране отвеждане и пречистване на отпадъчни води"
38,"Събиране и обезвреждане на отпадъци рециклиране на материали"
38.1,"Събиране на отпадъци"
38.11,"Събиране на неопасни отпадъци"
38.12,"Събиране на опасни отпадъци"
38.2,"Обработване и обезвреждане на отпадъци"
38.21,"Обработване и обезвреждане на неопасни отпадъци"
38.22,"Обработване и обезвреждане на опасни отпадъци"
38.3,"Рециклиране на материали"
38.31,"Разкомплектоване на отпадъци"
38.32,"Рециклиране на сортирани отпадъци"
39,"Възстановяване и други услуги по управление на отпадъци"
39.0,"Възстановяване и други услуги по управление на отпадъци"
