248,ПЛЕВЕН, ул. НЕОФИТ РИЛСКИ 32А 
646,ПЛЕВЕН, ул. САН СТЕФАНО 21-5 
685,ПЛЕВЕН - МЕДИЦИНСКИ УНИВЕРСИТЕТ, ул. КЛИМЕНТ ОХРИДСКИ 4 
745,ПЛЕВЕН, ул. ГЕОРГИ КОЧЕВ 88 
777,ПЛЕВЕН - ЦЕНТЪР, ул. КОСТА ХАДЖИПАКЕВ 13 
825,ПЛЕВЕН - БЕНЗИНОСТАНЦИЯ ШЕЛ, ул. БЪЛГАРСКА АВИАЦИЯ 125 
9031,ПЛЕВЕН - БИЛЛА АСЕН ХАЛАЧЕВ (АВТОМАТ), ул. АСЕН ХАЛАЧЕВ 2 
1,ПЛОВДИВ - СКЛАД, ул. КУКЛЕНСКО ШОСЕ 15 
79,ПЛОВДИВ - ОФИС, ул. КОНСТАНТИН СТОИЛОВ 19 
94,ПЛОВДИВ, ул. НАЙЧО ЦАНОВ НАДЛЕЗ РОДОПИ
109,ПЛОВДИВ, ул. ГЕОРГИ ТРИНГОВ 
222,ПЛОВДИВ, ул. ОБОРИЩЕ 7 
238,ПЛОВДИВ - РИВА ЦЕНТЪР, ул. ЗЛАТНА ПАНЕГА 4 
239,ПЛОВДИВ - КОМПЛЕКС ГЕРБЕР, жк ТРАКИЯ бл. 194 вх. Г 
532,ПЛОВДИВ - ПРОСЛАВ, ул. ЕЛИН ПЕЛИН 30 
583,ПЛОВДИВ, ул. БЯЛО МОРЕ 6 
606,ПЛОВДИВ - ТЕТ ЛЕНИН, бул. ПЕЩЕРСКО ШОСЕ 28А 
608,ПЛОВДИВ, жк ТРАКИЯ бл. 148 
655,ПЛОВДИВ, пл. ГРОЗДОВ ПАЗАР 2 
656,ПЛОВДИВ, ул. БРЕЗОВСКА 27 
666,ПЛОВДИВ - МЛАДЕЖКИ ДОМ, ул. АВКСЕНТИЙ ВЕЛЕШКИ 20 
688,ПЛОВДИВ, ул. ЯНКО САКЪЗОВ 19 
708,ПЛОВДИВ, ул. САМАРА 18 
733,ПЛОВДИВ, бул. БЪЛГАРИЯ 4 
738,ПЛОВДИВ - КОМАТЕВСКИ ВЪЗЕЛ, ул. ПОРТ АРТУР 10 
752,ПЛОВДИВ - СЛЪНЧЕВИ ЛЪЧИ, ул. МИХАЛАКИ ГЕОРГИЕВ 38 
753,ПЛОВДИВ, ул. ЛЕРИН 1 
