SiteType,SiteType_EN,SiteName,SiteName_EN,PostCode
с.,s.,БАЕВЦИ,BAEVTSI,5087
с.,s.,БАЕВЦИ,BAEVTSI,5304
с.,s.,БАЖДАРИ,BAZHDARI,5095
с.,s.,БАЙКАЛ,BAYKAL,5861
с.,s.,БАЙКАЛСКО,BAYKALSKO,2427
с.,s.,БАЙКОВО,BAYKOVO,9767
с.,s.,БАЙЛОВО,BAYLOVO,2133
с.,s.,БАКАЛИТЕ,BAKALITE,6698
с.,s.,БАКЬОВО,BAKYOVO,2295
с.,s.,БАЛАБАНОВО,BALABANOVO,6816
с.,s.,БАЛАБАНСКО,BALABANSKO,5615
с.,s.,БАЛАБАНЧЕВО,BALABANCHEVO,8471
с.,s.,БАЛАЛЕЯ,BALALEYA,5370
с.,s.,БАЛАНИТЕ,BALANITE,5301
с.,s.,БАЛАНОВО,BALANOVO,2680
с.,s.,БАЛВАН,BALVAN,5064
с.,s.,БАЛВАНЦИТЕ,BALVANTSITE,5388
с.,s.,БАЛДЕВО,BALDEVO,2948
с.,s.,БАЛЕЙ,BALEY,3797
с.,s.,БАЛИК,BALIK,9485
с.,s.,БАЛИНОВЦИ,BALINOVTSI,5342
с.,s.,БАЛКАН,BALKAN,6363
с.,s.,БАЛКАН МАХАЛА,BALKAN MAHALA,4245
с.,s.,БАЛКАНЕЦ,BALKANETS,5634
с.,s.,БАЛКАНСКИ,BALKANSKI,7265
с.,s.,БАЛКАНЦИ,BALKANTSI,5162
с.,s.,БАЛКАНЦИ,BALKANTSI,9549
с.,s.,БАЛУЦИ,BALUTSI,5081
с.,s.,БАЛША,BALSHA,1217
с.,s.,БАЛЬОВЦИ,BALYOVTSI,2060
с.,s.,БАЛЮВИЦА,BALYUVITSA,3529
с.,s.,БАНАРИ,BANARI,5370
с.,s.,БАНГЕЙЦИ,BANGEYTSI,5351
с.,s.,БАНИСКА,BANISKA,7167
с.,s.,БАНИТЕ,BANITE,4940
с.,s.,БАНИЦА,BANITSA,3077
с.,s.,БАНИЧАН,BANICHAN,2905
с.,s.,БАНИЩЕ,BANISHTE,2388
с.,s.,БАНКОВЕЦ,BANKOVETS,7997
с.,s.,БАНКОВЦИ,BANKOVTSI,5300
с.,s.,БАНКЯ,BANKYA,2466
с.,s.,БАНОВО,BANOVO,9144
с.,s.,БАНЧОВЦИ,BANCHOVTSI,2060
с.,s.,БАНЯ,BANYA,2778
с.,s.,БАНЯ,BANYA,8239
с.,s.,БАНЯ,BANYA,4523
с.,s.,БАНЯ,BANYA,8914
с.,s.,БАРАКОВО,BARAKOVO,2634
с.,s.,БАРАЦИ,BARATSI,6910
с.,s.,БАРУТИН,BARUTIN,4830
с.,s.,БАСАРБОВО,BASARBOVO,7071
с.,s.,БАСКАЛЦИ,BASKALTSI,2883
с.,s.,БАТА,BATA,8218
с.,s.,БАТАК,BATAK,5228
с.,s.,БАТИН,BATIN,7172
с.,s.,БАТИШНИЦА,BATISHNITSA,7169
с.,s.,БАТОВО,BATOVO,9364
с.,s.,БАТОШЕВО,BATOSHEVO,5470
с.,s.,БАТУЛИЯ,BATULIA,2295
с.,s.,БАТУЛЦИ,BATULTSI,5764
с.,s.,БАУРЕНЕ,BAURENE,3068
с.,s.,БАХАЛИН,BAHALIN,2219
с.,s.,БАХОВИЦА,BAHOVITSA,5567
с.,s.,БАХРЕЦИ,BAHRETSI,5367
с.,s.,БАЦОВА МАХАЛА,BATSOVA MAHALA,5948
с.,s.,БАЧЕВО,BACHEVO,2769
с.,s.,БАЧКОВО,BACHKOVO,4251
с.,s.,БАШЕВО,BASHEVO,6777
с.,s.,БАЩИНО,BASHTINO,6669
с.,s.,БАЩИНО,BASHTINO,7619
с.,s.,БАЩИНО,BASHTINO,6068
с.,s.,БАЯЧЕВО,BAYACHEVO,7745
с.,s.,БДИНЦИ,BDINTSI,9381
с.,s.,БЕБРОВО,BEBROVO,5084
с.,s.,БЕГЛЕЖ,BEGLEZH,5872
с.,s.,БЕГОВО,BEGOVO,4166
с.,s.,БЕГУНОВЦИ,BEGUNOVTSI,2395
с.,s.,БЕГУНЦИ,BEGUNTSI,4359
с.,s.,БЕДЕН,BEDEN,4817
с.,s.,БЕДЖЕНЕ,BEDZHENE,9924
с.,s.,БЕДРОВО,BEDROVO,6716
с.,s.,БЕЖАНОВО,BEZHANOVO,5792
с.,s.,БЕЖАНОВО,BEZHANOVO,9567
с.,s.,БЕЗВОДИЦА,BEZVODITSA,9637
с.,s.,БЕЗВОДНО,BEZVODNO,6718
с.,s.,БЕЗДЕН,BEZDEN,2236
с.,s.,БЕЗДЕНИЦА,BEZDENITSA,3454
с.,s.,БЕЗМЕР,BEZMER,9480
с.,s.,БЕЗМЕР,BEZMER,8637
с.,s.,БЕЙКОВЦИ,BEYKOVTSI,5094
с.,s.,БЕКРИИТЕ,BEKRIITE,5300
