key,day,base,weekday,year,title,type,info,nameday
,7,1,,,Св. Йоан Кръстител (Ивановден),nameday,,"ivan, ivana, ivancho, ivanela, ivanina, ivanka, vani, vania, vanina, vanio, vanja, vanka, vankata, vanko, vanq, vanya, vanyo, jan, jana, jane, janet, janeta, jani, janko, ioan, ioana, ioanna, yoan, yoana, yoanna, iovka, iovko, yovka, yovko, jovka, jovko, ivanichka, ivayla, ivaylo, ivailo, ivajlo, ivalin, ivalina, ivam, ivalyn, ivalyna, ivelin, ivelina, ivo, joncho, yoncho, ioncho, jonka, yonka, ionka, ionka, jonka, yonka, jonko, ionko, yonko, yoto, joto"
,11,1,,,Преп. Теодосий Велики,nameday,,"bogdan, bogdana, bogomila, teodosi, teodosyi, teodosii"
,12,1,,,Света Татяна,nameday,,"tatjana, tatyana, tatiana, tania, tanq, tatqna"
,14,1,,,"Преп. Отци,избити в Синай и Раита. Св.Нина (Отдание на Богоявление)",nameday,,adam
,17,1,,,Преп. Антоний Велики (Антоновден),nameday,,"anton, antoni, antonia, antonina, antonio, antoniq, antoniy, antoniya, antony, toncho, toni, tonia, tonislav, tonka, tonko, tony, tonya, andon, doncho, donka, donika"
,18,1,,,Атанасовден,nameday,,"atanas, atanaska, atnas, nasco, nasi, naska, nasko, naso, tinka, nacho, tinka, tinko, tanio, tanjo, tanyo"
,20,1,,,"Св. Евтимий, патриарх Търновски",nameday,,"evtim, eftim, evtimii"
,21,1,,,Преп.Максим Изповедник; Мчк.Неофит,nameday,,"agnesa, agnes, maskim, max, maxi, maxim, valera, valeri, valeria, valeriq, valeriy, valeriya, valery"
,22,1,,,"Св. апостол Тимотей. Св. преподобномъченик Атанасий Перски. Св. свещеномъченик Петър Български, мъченик Сионий Български ",nameday,,"timotei, timotey"
,23,1,,,"Св. свщмчк Климент, еп. Анкирски. Св. мчк Агатангел. Св. Павлин, еп. Нолански",nameday,,"kristofar, hristofor, xristofor, hristofora, hrristofer, kristofera"
,24,1,,,Преп. Ксения Римлянка ,nameday,,"aksenia, aksinia, ksenia, oksana"
,25,1,,,"Св. Григорий Богослов, архиепископ на Цариград",nameday,,"grigo, grigor, grigorena"
,26,1,,,"Св. преподобни Ксенофонт, Мария и синовете им. Св. преподобни Теодосий, игумен Студийски ",nameday,,"jivko, zhivko, jivka, zhivka, zoya, zoja, zoia"
,1,2,,,Св. мъченик Трифон (Трифоновден). Св. мъченица Фивия Перпетуа (Предпразненство на Сретение Господне) ,nameday,,"trifon, trifonka, lozan, lozana, lozka, triffon"
,3,2,,,Св. Симеон Богоприимец и Анна пророчица,nameday,,"mona, simo, simeon, moni, mony, simeona, simon, simona"
,4,2,,,Преп. Исидор Пелусиотски. Св. мчк Иадор Преп. Исидор Пелусиотски. Св. мчк Иадор ,nameday,,"jeko, zheko, zhelyazko, zhelqzko, zhechka, zhechko, zheko, jechka, jechko, jelyazko, jelyazko"
,5,2,,,Св. мчца Агатия ,nameday,,"agata, dobrinka"
,6,2,,,"Преп. Вукол, еп. Смирненски. Преп. Варсануфий Велики. Св. Фотий, патр. Константинополски ",nameday,,"doroteya, doroteia, doroteq, svetla, svetlozar, svetlozara, fotij, fotyi, ognian, ognyan, ogi, ogy, ognyana, ogniana, ognjan, ognqn, ognyan, plam, plama, plame, plamen, plamena, plamenka, plamenna, plami, plamka, plamcho, plamencho"
,9,2,,,Св. мъченик Никифор. (Отдание на Сретение Господне) ,nameday,,"hristina, xristina"
,10,2,,,"Св. свщмчк Харалампий Чудотворец. 
Св. мчца Валентина ",nameday,,"haralambi, haralampi, xaralambi, xaralampi, lambi, valentin, valentina, valia, valq"
